 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0043021	  -0.0001637	  -0.0002994	   0.0000108	   0.0003414	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0012651	   0.0009826	  -0.0335068
   0.0070209	   0.0000945	  -0.0005460	  -0.0000208	   0.0005545	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0021461	   0.0020173	  -0.0630229
   0.0039122	  -0.0003608	  -0.0003709	  -0.0000496	   0.0005198	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0008346	   0.0006783	  -0.0278838
   0.0042102	   0.0002000	  -0.0004000	   0.0000419	   0.0004492	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0014444	   0.0009097	  -0.0358889
   0.0071982	   0.0000417	  -0.0002064	  -0.0001509	   0.0002591	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0019996	   0.0014383	  -0.0662350
   0.0065352	  -0.0002004	  -0.0000859	  -0.0000126	   0.0002184	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0052364	   0.0049968	  -0.1003038
   0.0046160	  -0.0003823	  -0.0005670	  -0.0000197	   0.0006841	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0022955	   0.0020437	  -0.0511705
   0.0078459	  -0.0002401	  -0.0006349	  -0.0001011	   0.0006862	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0021659	   0.0021659	  -0.0691512
   0.0053430	  -0.0000829	  -0.0001643	  -0.0000938	   0.0002066	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0034876	   0.0029823	  -0.0735247
   0.0047325	  -0.0000911	  -0.0004474	  -0.0001327	   0.0004755	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030759	   0.0026507	  -0.0641301
   0.0057618	  -0.0001562	   0.0000648	  -0.0000706	   0.0001833	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0034175	   0.0026735	  -0.0764345
   0.0043849	   0.0002688	  -0.0002577	  -0.0000481	   0.0003755	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0020964	   0.0019952	  -0.0452950
   0.0047170	   0.0003594	  -0.0000444	  -0.0000409	   0.0003644	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026752	   0.0020605	  -0.0588704
   0.0046398	   0.0004048	  -0.0000698	   0.0000042	   0.0004107	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030337	   0.0026433	  -0.0621420
   0.0043431	  -0.0000708	  -0.0003806	  -0.0000242	   0.0003879	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0012983	   0.0008828	  -0.0342125
   0.0065565	  -0.0000664	  -0.0001171	  -0.0000642	   0.0001491	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0042115	   0.0040230	  -0.0863932
   0.0066350	   0.0001410	  -0.0006131	  -0.0000283	   0.0006298	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0032775	   0.0029607	  -0.0771182
   0.0050147	   0.0002961	  -0.0001733	  -0.0000519	   0.0003470	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0041520	   0.0032281	  -0.0818252
