         # x	           y	           z	          vx	          vy	          vz
  -1.3284489	  -3.7689517	  -0.0563767	   0.0006684	   0.0021147	   0.0001009
  -1.3134215	  -3.7222411	  -0.0541254	   0.0006840	   0.0020891	   0.0001018
  -1.2980486	  -3.6761061	  -0.0518547	   0.0006995	   0.0020629	   0.0001026
  -1.2823356	  -3.6305596	  -0.0495654	   0.0007147	   0.0020362	   0.0001034
  -1.2662882	  -3.5856143	  -0.0472584	   0.0007296	   0.0020088	   0.0001042
  -1.2499121	  -3.5412829	  -0.0449344	   0.0007442	   0.0019809	   0.0001049
  -1.2332132	  -3.4975778	  -0.0425943	   0.0007586	   0.0019525	   0.0001057
  -1.2161974	  -3.4545109	  -0.0402390	   0.0007727	   0.0019235	   0.0001063
  -1.1988710	  -3.4120942	  -0.0378692	   0.0007866	   0.0018939	   0.0001070
  -1.1812400	  -3.3703393	  -0.0354859	   0.0008002	   0.0018639	   0.0001075
  -1.1812400	  -3.3703393	  -0.0354859	   0.0005844	   0.0019967	   0.0000865
  -1.1680497	  -3.3262171	  -0.0335575	   0.0006027	   0.0019742	   0.0000871
  -1.1544542	  -3.2826020	  -0.0316170	   0.0006208	   0.0019510	   0.0000876
  -1.1404584	  -3.2395093	  -0.0296653	   0.0006387	   0.0019272	   0.0000881
  -1.1260673	  -3.1969540	  -0.0277029	   0.0006564	   0.0019027	   0.0000885
  -1.1112861	  -3.1549510	  -0.0257305	   0.0006739	   0.0018775	   0.0000890
  -1.0961201	  -3.1135150	  -0.0237490	   0.0006911	   0.0018516	   0.0000894
  -1.0805746	  -3.0726605	  -0.0217589	   0.0007080	   0.0018252	   0.0000897
  -1.0646553	  -3.0324016	  -0.0197610	   0.0007247	   0.0017980	   0.0000901
  -1.0483679	  -2.9927525	  -0.0177561	   0.0007411	   0.0017703	   0.0000904
  -1.0483679	  -2.9927525	  -0.0177561	   0.0005212	   0.0019181	   0.0000732
  -1.0365438	  -2.9503500	  -0.0161261	   0.0005430	   0.0018980	   0.0000735
  -1.0242372	  -2.9084043	  -0.0144903	   0.0005646	   0.0018770	   0.0000737
  -1.0114526	  -2.8669337	  -0.0128494	   0.0005860	   0.0018552	   0.0000740
  -0.9981946	  -2.8259561	  -0.0112038	   0.0006072	   0.0018326	   0.0000741
  -0.9844679	  -2.7854894	  -0.0095542	   0.0006282	   0.0018092	   0.0000743
  -0.9702774	  -2.7455513	  -0.0079012	   0.0006489	   0.0017851	   0.0000745
  -0.9556282	  -2.7061591	  -0.0062454	   0.0006695	   0.0017601	   0.0000746
  -0.9405256	  -2.6673303	  -0.0045873	   0.0006897	   0.0017344	   0.0000747
  -0.9249750	  -2.6290817	  -0.0029276	   0.0007098	   0.0017079	   0.0000747
  -0.9249750	  -2.6290817	  -0.0029276	   0.0004742	   0.0018590	   0.0000572
  -0.9141522	  -2.5879729	  -0.0016553	   0.0004998	   0.0018406	   0.0000573
  -0.9027635	  -2.5472845	  -0.0003823	   0.0005252	   0.0018212	   0.0000573
  -0.8908132	  -2.5070380	   0.0008907	   0.0005503	   0.0018008	   0.0000573
  -0.8783055	  -2.4672546	   0.0021635	   0.0005753	   0.0017795	   0.0000573
  -0.8652449	  -2.4279552	   0.0034355	   0.0006001	   0.0017573	   0.0000572
  -0.8516361	  -2.3891608	   0.0047062	   0.0006247	   0.0017341	   0.0000571
  -0.8374839	  -2.3508919	   0.0059753	   0.0006490	   0.0017100	   0.0000571
  -0.8227935	  -2.3131691	   0.0072422	   0.0006731	   0.0016849	   0.0000570
  -0.8075700	  -2.2760126	   0.0085065	   0.0006970	   0.0016590	   0.0000568
  -0.8075700	  -2.2760126	   0.0085065	   0.0004543	   0.0017934	   0.0000317
  -0.7971544	  -2.2363551	   0.0092100	   0.0004831	   0.0017756	   0.0000316
  -0.7861019	  -2.1971040	   0.0099102	   0.0005116	   0.0017568	   0.0000314
  -0.7744164	  -2.1582834	   0.0106068	   0.0005400	   0.0017369	   0.0000313
  -0.7621022	  -2.1199171	   0.0112996	   0.0005682	   0.0017159	   0.0000311
  -0.7491637	  -2.0820290	   0.0119883	   0.0005962	   0.0016939	   0.0000309
  -0.7356055	  -2.0446425	   0.0126728	   0.0006240	   0.0016708	   0.0000307
  -0.7214325	  -2.0077810	   0.0133527	   0.0006515	   0.0016466	   0.0000305
  -0.7066497	  -1.9714677	   0.0140278	   0.0006789	   0.0016214	   0.0000303
  -0.6912625	  -1.9357256	   0.0146979	   0.0007059	   0.0015952	   0.0000300
  -0.6912625	  -1.9357256	   0.0146979	   0.0005064	   0.0016820	   0.0000052
  -0.6796742	  -1.8985646	   0.0148115	   0.0005365	   0.0016623	   0.0000050
  -0.6674180	  -1.8618550	   0.0149197	   0.0005665	   0.0016414	   0.0000048
