 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0048939	  -0.0001025	  -0.0000917	  -0.0000996	   0.0001698	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0326258
   0.0042203	  -0.0003355	   0.0004232	   0.0001536	   0.0005615	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0281966
   0.0057414	  -0.0001397	   0.0005866	  -0.0004297	   0.0007405	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0385163
   0.0056111	   0.0000449	  -0.0003679	  -0.0002273	   0.0004348	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0374075
   0.0044588	  -0.0000252	   0.0000183	   0.0001971	   0.0001996	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0297255
   0.0054298	  -0.0004266	   0.0001053	  -0.0001289	   0.0004579	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0361989
   0.0048593	   0.0001983	  -0.0002180	   0.0003927	   0.0004910	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0323950
   0.0081413	  -0.0001842	  -0.0000531	   0.0000275	   0.0001936	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0542755
   0.0048547	   0.0003859	   0.0001555	   0.0002119	   0.0004669	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0323650
   0.0053035	  -0.0004204	  -0.0001612	  -0.0001420	   0.0004721	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0353565
   0.0055526	  -0.0002659	   0.0000608	   0.0002121	   0.0003455	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0370172
   0.0072792	   0.0004952	   0.0000378	   0.0001907	   0.0005320	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0485597
   0.0050501	  -0.0004318	  -0.0000349	   0.0000891	   0.0004423	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0336675
   0.0051666	  -0.0002991	   0.0002468	   0.0002423	   0.0004572	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0344440
   0.0074404	   0.0003021	   0.0000768	   0.0002118	   0.0003768	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0496027
   0.0053294	  -0.0002541	  -0.0003591	  -0.0001120	   0.0004539	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0355294
   0.0045806	  -0.0002547	   0.0001344	   0.0002638	   0.0003906	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0305375
   0.0077464	   0.0001621	  -0.0001192	  -0.0000224	   0.0002024	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0516429
   0.0043581	  -0.0003113	   0.0001056	   0.0002629	   0.0004209	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0290539
   0.0044982	  -0.0000459	   0.0001870	   0.0002685	   0.0003304	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0299881
   0.0078576	   0.0002391	   0.0001452	   0.0002016	   0.0003448	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0523841
   0.0070770	  -0.0001881	   0.0003563	  -0.0000597	   0.0004073	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0471800
   0.0049646	  -0.0005579	  -0.0003627	   0.0001414	   0.0006803	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0332778
   0.0086518	  -0.0001090	  -0.0003406	  -0.0000515	   0.0003613	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0576786
   0.0057563	  -0.0001624	   0.0001751	  -0.0002840	   0.0003711	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0383753
   0.0050231	  -0.0001313	  -0.0002325	  -0.0001117	   0.0002894	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0334873
   0.0061652	  -0.0003009	   0.0003972	  -0.0001683	   0.0005259	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0411276
   0.0048102	   0.0001948	  -0.0000277	   0.0001796	   0.0002664	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0320681
   0.0050989	   0.0001334	   0.0002197	   0.0000973	   0.0002748	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0339926
   0.0052087	   0.0004275	   0.0002049	   0.0001927	   0.0005117	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0347366
   0.0045829	  -0.0003350	   0.0001372	   0.0003863	   0.0005294	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0305821
   0.0071719	  -0.0001284	   0.0003541	  -0.0003034	   0.0004837	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0478128
   0.0072957	   0.0000464	  -0.0001515	  -0.0004355	   0.0004634	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0486381
   0.0054459	   0.0000879	   0.0000630	  -0.0000198	   0.0001099	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0363057
   0.0057614	  -0.0004103	   0.0000449	   0.0002082	   0.0004623	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0384091
   0.0052650	   0.0000903	   0.0002023	   0.0001310	   0.0002573	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0351000
   0.0085223	   0.0004813	   0.0000995	  -0.0000140	   0.0004917	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0568150
   0.0087749	   0.0004146	   0.0000617	  -0.0000838	   0.0004274	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0584991
   0.0051046	  -0.0003446	  -0.0003209	   0.0001642	   0.0004987	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0340306
   0.0080879	   0.0005052	   0.0000841	   0.0000612	   0.0005158	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0539352
   0.0042474	  -0.0002318	   0.0002628	   0.0001682	   0.0003887	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0283162
   0.0060494	   0.0001682	   0.0004200	  -0.0000752	   0.0004586	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0403294
